log_likelihood	shape	scale	misid	theta
-311.98504567856617	0.3070518481507847	79.59044151234463	0.0016008573098561572	15097.905302791596
-311.9850457006364	0.3070453638925105	79.59582792418428	0.0016008622003239258	15097.905302791596
-311.9850981064186	0.3070588363578886	79.58699708586421	0.001606012490786942	15097.905302791596
-311.98507676705407	0.30707327165668746	79.57480304633916	0.001597743994244161	15097.905302791596
-311.9850621419604	0.3070902288682218	79.55945739097616	0.0016016422735940564	15097.905302791596
-311.98504755947215	0.3070523525869552	79.58807379537049	0.001600274423970041	15097.905302791596
-311.9850469166678	0.30704744446511867	79.59122101408515	0.0016008744793553711	15097.905302791596
-311.9850503247387	0.3070548243704752	79.58751798667913	0.0015995854735746122	15097.905302791596
-311.98504896471644	0.307039779004715	79.60006650449097	0.001599731853150577	15097.905302791596
-311.985069743117	0.30701703776104294	79.60817412459801	0.001601064110229484	15097.905302791596
