log_likelihood	shape	scale	misid	theta
-296.9054385679443	0.2807103982161935	107.7071209391541	0.0011189420301094234	14751.589374707744
-296.90543841587237	0.28070815887192085	107.71295868127959	0.0011186338650564659	14751.589374707744
-296.9054381749014	0.28070830920598433	107.7111911187401	0.0011187632539970676	14751.589374707744
-296.90543851889083	0.28071147791376616	107.70603108460865	0.001118872618215863	14751.589374707744
-296.905440930957	0.28070611135527673	107.71364203535119	0.001119770642964217	14751.589374707744
-296.9054395551769	0.2807130925764248	107.7051902559736	0.0011194617915977227	14751.589374707744
-296.9054382431276	0.2807071898858622	107.71240200694527	0.001118869587121708	14751.589374707744
-296.90543879639023	0.2807067320392334	107.7124441070905	0.0011191919806079337	14751.589374707744
-296.9054660862396	0.2807267424456125	107.70479057677674	0.0011197703543450411	14751.589374707744
-296.9054795027664	0.28075526896394776	107.65620516203425	0.0011219262493319445	14751.589374707744
