log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	misid	theta
-10573.213088582981	0.22026539012621943	0.14634388023919107	0.3005853633818225	0.7862438767301491	0.8444674234701403	0.0	0.11529773538607795	0.006848175921049438	5547.187743944918
-10589.46308432012	0.2154915064805825	0.15790154721433228	0.2747045388541835	0.8426440716855381	0.904161746231472	0.0	0.11266612067862866	0.01104410164624914	5420.963781330269
-10586.153965877551	0.1373656288890205	0.21699697965869913	0.2863617217225776	0.742191510872915	0.8761777611163294	0.0	0.11965717497336278	0.004972358897368849	5648.198813698788
-10581.129934073111	0.2959350702910398	0.08288746636527003	0.26471443326322974	0.8582577090451808	0.9019136386691731	0.0	0.1169721170817779	0.002912985597692939	5379.149594107608
-10556.364341516504	0.03977610442733226	0.32850932275687106	0.27824578142664486	0.8351239397747834	0.9089619699940928	0.0	0.11369663400274817	0.005534432221228249	5457.282249591289
-10556.147404335665	0.07719460714683815	0.28318930577873636	0.2642272798457364	0.831890195477295	0.880930378544459	0.0	0.11347381915828707	0.004557320025692078	5537.698003103995
-10557.221533020056	0.22134547739135488	0.15082986602767628	0.2679747279535499	0.8527539934935747	0.8915383326188676	0.0	0.11224496270815747	0.005493857149672137	5432.810130657203
-10556.503587096238	0.14944264932030563	0.21008651785667354	0.2617928551023024	0.843962956133521	0.8718472991638011	0.0	0.11105328388711559	0.004983579590075498	5525.602771302939
-10625.164555120598	0.09829765061442661	0.21228368666945086	0.2258120749631897	0.7821972863708418	0.7731835173995657	0.0	0.11044160987933785	0.0027676586068036213	5962.431693283828
-10561.20373094405	0.04156095062767457	0.30858510938710687	0.23475421211455794	0.8436408631859464	0.8669990166078524	0.0	0.11868812314982657	0.006503696907317731	5622.619737451868
