log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	misid	theta
-6367.612121185052	0.1560653049618908	0.2313750461075755	0.3303019955074812	0.930105229393651	0.9416773507556399	0.007034599238484909	5011.782019701422
-6369.214241983062	0.21478102740208113	0.17559681256840481	0.3339767606998128	0.9310131324052712	0.9446046282997766	0.006831335327000586	4991.491928991596
-6379.002010028951	0.31902277455469263	0.06627772164972698	0.31168796846731045	0.9207566451780957	0.8988598137272468	0.006375669320022353	5050.337690695818
-6373.3904938127125	0.16358663623578223	0.22855611326784794	0.34680838141680115	0.9156523676851149	0.9589928589800537	0.009125107289152497	4980.259550227381
-6371.239627439008	0.2739056112455274	0.11905134211705926	0.32949865961685754	0.9451586681967639	0.9511455193932876	0.007231380400709948	4963.524843054363
-6366.148614973235	0.07319889493757495	0.30359663994176933	0.3168101840314815	0.9161896618432254	0.9237279642740639	0.006630720599052246	5094.067747424604
-6371.589170042883	0.254890848774095	0.1350435303426128	0.32013090597063065	0.9541206077719623	0.9415358574790634	0.007095462961898698	4982.259665725473
-6367.931288452321	0.167527952577015	0.22198154417972668	0.33309837512862295	0.9274400806910663	0.9464339379365267	0.0068629720923061525	5001.15108111956
-6374.657792384665	0.39830832317340487	0.001	0.3436807711800724	0.9299201796038815	0.8459236736559046	0.006525648828656349	4916.922770550775
-6366.009656637571	0.08347373434289124	0.2992948334741112	0.32542361334426906	0.9273404908818929	0.9345676432444421	0.007260061291397879	5044.0802744471885
