log_likelihood	mu	sigma	theta
-443.6362399601857	0.26490898541963104	128.5778695401339	14817.836466281988
-443.6362364873975	0.26490465656523277	128.59276563695204	14817.836466281988
-443.63623583760005	0.2649117060212749	128.58273826155084	14817.836466281988
-443.63623585713714	0.2649105110934698	128.58449159195328	14817.836466281988
-443.63623583768634	0.26491160741528497	128.5828812318596	14817.836466281988
-443.6362358376038	0.2649116567793878	128.58280338349942	14817.836466281988
-443.6362358577833	0.2649105134194377	128.58451846541317	14817.836466281988
-443.6362358382666	0.2649117972654289	128.5827127126159	14817.836466281988
-443.6362360007443	0.26491528386401997	128.5777774451202	14817.836466281988
-443.63623591314365	0.2649107742535971	128.58501583139423	14817.836466281988
