log_likelihood	mu	sigma	theta
-427.44381176807144	0.2695888013516787	145.3720420261058	18228.556256359625
-427.4438117737824	0.26958830022168695	145.37262463864303	18228.556256359625
-427.44381181024215	0.2695871950264632	145.37456468827662	18228.556256359625
-427.4438119926116	0.2695935270787901	145.36519828186007	18228.556256359625
-427.4438214827583	0.26961739582364397	145.32775058433455	18228.556256359625
-427.44381176723755	0.26958905614923545	145.3716320821581	18228.556256359625
-427.44381271265416	0.2695892986813432	145.3667073908982	18228.556256359625
-427.443811768202	0.26958877372806855	145.3720701659393	18228.556256359625
-427.44381176739535	0.2695889511781488	145.37181403267718	18228.556256359625
-427.44381181455	0.2695910053669996	145.36857061633904	18228.556256359625
