log_likelihood	mu	sigma	theta
-440.3704184488959	0.26870054756720885	186.7275143986144	23049.42087781632
-440.3704166510918	0.2686863869752388	186.75511735093238	23049.42087781632
-440.3704169161606	0.2686889828623091	186.7477280522694	23049.42087781632
-440.3704166073525	0.2686898787649883	186.74939895614781	23049.42087781632
-440.37041658612276	0.26868817961946806	186.75274803581354	23049.42087781632
-440.3704166313473	0.2686903896152117	186.74818630825587	23049.42087781632
-440.37041696902935	0.2686897575985563	186.75342315681704	23049.42087781632
-440.37041686610297	0.2686934069519233	186.74271219688268	23049.42087781632
-440.37041722166833	0.2686893842331185	186.75522749557257	23049.42087781632
-440.37041658699917	0.26868805640367815	186.75293714690267	23049.42087781632
