log_likelihood	mu	sigma	theta
-421.46056999122027	0.28217894350127604	107.67424535166654	15824.317772503598
-421.4605699987511	0.28217997538797335	107.67309195903289	15824.317772503598
-421.46057007451776	0.28217904807264194	107.6752248980934	15824.317772503598
-421.46057001366836	0.2821807328071938	107.67276944816429	15824.317772503598
-421.46057005277663	0.2821776035852783	107.67627475840328	15824.317772503598
-421.4605699937661	0.2821786967750297	107.67467159975108	15824.317772503598
-421.4605699893757	0.2821792380155222	107.67404624155678	15824.317772503598
-421.46057565371973	0.2822022152819487	107.64986119811574	15824.317772503598
-421.4605700974815	0.28217605148479813	107.67715804595811	15824.317772503598
-421.46057031693346	0.282174307867668	107.67795212693166	15824.317772503598
