log_likelihood	mu	sigma	theta
-442.0149485882117	0.26354956458923684	121.7674265003397	14171.9980204608
-442.01494391618746	0.2635330231840234	121.79084370800979	14171.9980204608
-442.01494386193	0.26353078065984276	121.79346765646687	14171.9980204608
-442.0149438684669	0.2635307639291315	121.79318861707563	14171.9980204608
-442.01494392456465	0.26353304771146796	121.79030322451317	14171.9980204608
-442.01494397293334	0.2635339332747321	121.78942637947726	14171.9980204608
-442.01494386186187	0.26353098755494153	121.79329141430472	14171.9980204608
-442.0149440153443	0.2635343407210901	121.78863094565142	14171.9980204608
-442.01494405868755	0.26353267667717556	121.79272773199808	14171.9980204608
-442.0149438733638	0.26353186475823653	121.79199708412318	14171.9980204608
