log_likelihood	mu	sigma	theta
-438.28469356831687	0.2633063567398195	145.22175785838576	16646.574602708813
-438.2846937373099	0.2633087251463238	145.2180790279732	16646.574602708813
-438.2846936442197	0.26330153347307667	145.22916419268492	16646.574602708813
-438.28469353559393	0.2633050624179093	145.22364848195497	16646.574602708813
-438.2846935311462	0.2633048517619872	145.22415210999708	16646.574602708813
-438.2846938138603	0.26330209500350993	145.23046861414556	16646.574602708813
-438.28469353177195	0.26330428538491674	145.22509403204953	16646.574602708813
-438.28469378947176	0.2633001090823473	145.23062174496374	16646.574602708813
-438.28469353350124	0.2633046956349316	145.2241869041671	16646.574602708813
-438.2846935882444	0.2633066288152679	145.22110919864463	16646.574602708813
