log_likelihood	mu	sigma	theta
-425.49847833333877	0.2589761977205973	176.3811647539876	19450.238516601286
-425.4984787105127	0.2589701424803351	176.3924027036965	19450.238516601286
-425.4984783252472	0.25897578856214487	176.3823347027992	19450.238516601286
-425.4984783301575	0.2589763264655753	176.3815310785915	19450.238516601286
-425.49848134557124	0.25897089069920093	176.381618358149	19450.238516601286
-425.49847844887734	0.2589783840145914	176.3764807751439	19450.238516601286
-425.49847832551745	0.25897577564321195	176.38227067506168	19450.238516601286
-425.4984783412195	0.25897459981846	176.3844685666574	19450.238516601286
-425.49847865379587	0.25897075037538164	176.39241142972466	19450.238516601286
-425.49847833264494	0.25897608730463506	176.38135150126436	19450.238516601286
