log_likelihood	T_WGD	nuWGD	nuF	theta
-101.66658574300664	0.52683862307023	0.26597310381714745	0.776789345779667	5699.191954104739
-101.66658626095682	0.5292121542410847	0.26546794445237226	0.7743039110455393	5706.514440748252
-106.79007079733128	0.14499240094600002	0.5175476016228627	0.9533884612554563	5289.186436685655
-106.41813545876721	0.10373752247808037	0.8155776734395134	0.8457571511758333	5286.73740823985
-101.66591051029036	0.5318489075650731	0.2658856559045835	0.7736205711161114	5704.880999044272
-101.66599915945721	0.5280728438985726	0.2663356757325852	0.7758055559033598	5699.2123781783675
-106.18983584116404	0.08653118193058622	1.3734624577677628	0.712657672638796	5289.423808440026
-101.6676701196925	0.5351950264766682	0.2635278950428863	0.7719922592403049	5718.807864463164
-106.79102197249517	0.14629576427371818	0.5168915152769278	0.950776680976656	5288.330112722585
-101.66599487683675	0.5336012752853783	0.26486485498327395	0.7726501680812593	5711.383625861276
