log_likelihood	T_WGD	nuWGD	nuF	theta
-101.6083216498946	0.6819606584717997	0.09984155337071386	0.38636928388220165	10461.29610497225
-101.52918347402147	0.6178110841912344	0.07940346619150146	0.32901118077046637	12268.36701783928
-101.53017487169927	0.6152484793377758	0.07909378576604004	0.32906058271969274	12278.521478781562
-101.967407840649	0.7726145082312292	0.1526948447055863	0.5111522760470705	7938.179403992992
-101.77014101341183	0.7407990469356076	0.12882547391355123	0.4607162192342012	8809.027674484738
-101.53490834882064	0.6206168856935534	0.08045984267237183	0.33199190314347166	12154.59563804467
-101.57843132377707	0.6620334556932969	0.09266847647375084	0.3666617701587377	11015.6819425158
-101.60061177002149	0.6770020043312132	0.09777403830891039	0.37980073368902195	10628.676333353227
-112.84897119630341	0.11015624006846567	1.6059864814990747	0.5811399495295252	5311.504493727346
-101.63300599358308	0.6940776168026029	0.10379585098004647	0.3962237960297013	10199.176806160256
