log_likelihood	T_WGD	TF	nuWGD	nuF	H	theta
-606.0966184164906	0.14182387109449654	0.3783769052263925	0.15726234998894353	0.902797022355846	0.0	5988.790606968322
-593.9302087070735	0.35466544151032314	0.299885645018693	0.3319746530285746	0.9671726212252298	0.0	5701.119935636604
-593.9295463464526	0.3548858092277849	0.29998483546863636	0.33227748899574233	0.9672098302150804	0.0	5700.105847095068
-593.9292254617437	0.35534387754169056	0.29978351897707395	0.33258469619863573	0.9673457336994276	0.0	5699.672468033529
-593.9693832502438	0.34397611206489925	0.3033102483437749	0.32450816244122627	0.9637718829705189	0.0	5715.724599668127
-597.8896752206927	0.23317812595715895	0.3376645684448289	0.23862232752639712	0.9274347436667941	0.0	5886.059462600914
-593.9301741934041	0.3547363792842366	0.2999387323130278	0.33226196909747985	0.9672175334115599	0.0	5700.187225682732
-593.929128901555	0.35630189986963223	0.29971350428499105	0.3332655687271208	0.9677729210154296	0.0	5697.414591750678
-593.9295676471297	0.3551864234099767	0.29999573610037394	0.33242661865917195	0.9674675414940008	0.0	5699.15412308633
-593.9349467301997	0.3514454520982285	0.3011111845111	0.3298150462056065	0.9661167245451805	0.0	5704.910997644688
