log_likelihood	T_WGD	TF	nuWGD	nuF	H	theta
-575.9866191868152	0.27345541193435696	0.31133542254359814	0.26848315353948815	0.946677977256588	0.0	5886.213530580479
-576.2530795076003	0.30348900376058197	0.3034815728494196	0.29158001960127483	0.9576603406827748	0.0	5833.379770310518
-575.9960699617081	0.27736038046393635	0.31026068679993596	0.2716329138037381	0.9464921440901082	0.0	5883.590756516536
-575.9859636241163	0.27411492481048033	0.3111067136408119	0.2690348850643686	0.946542093869453	0.0	5886.131616305016
-576.0100580592459	0.28280546567834974	0.3091402766920349	0.27573968088676176	0.9498109773292833	0.0	5869.823566370761
-577.006055227763	0.3195098012702434	0.29044770887689	0.30375802259978285	0.9619723728034449	0.0	5833.31600306775
-576.0146495836093	0.2645859341049405	0.314321302808552	0.26158899617745196	0.943415352652389	0.0	5900.02648810517
-575.9893659753862	0.27204245358132323	0.31172182192787334	0.2672744581262129	0.9454654173098592	0.0	5890.899473770837
-575.9862755674563	0.27457009437481256	0.3109647364271427	0.26946174621512525	0.9467212901171744	0.0	5885.144929145944
-591.6156485756271	0.0448724145295942	0.38557620726280734	0.05389309220062778	0.8758085541995927	0.0	6248.811177981309
