log_likelihood	mu	sigma	rho	w	theta
-8998.98025294501	1.6301320565485367	2.602452122708839	0.0	0.054395860827618873	13898.542275050637
-8998.980252985348	1.630125134280376	2.6024837930082447	0.0	0.05438206348298762	13898.542275050637
-8998.980254506387	1.6301229519274454	2.6024896477290853	0.0	0.054432302394715686	13898.542275050637
-8998.980252354453	1.6301134512076896	2.602480455006662	0.0	0.05440669232474869	13898.542275050637
-8998.980252674022	1.6301162777724376	2.6024679455361115	0.0	0.05438854219825722	13898.542275050637
-8998.980261016506	1.6301177248825252	2.602629927918802	0.0	0.054429173804983806	13898.542275050637
-8998.980257442854	1.6300743059405842	2.60250769831127	0.0	0.05438858944452083	13898.542275050637
-8998.980252185353	1.6301211357540035	2.6024971369671674	0.0	0.05440310555440199	13898.542275050637
-8998.98025632817	1.6301330257843742	2.602474105618941	0.0	0.054359401636313594	13898.542275050637
-8998.980254018894	1.6301000422870455	2.602438554102542	0.0	0.05441106172407776	13898.542275050637
