log_likelihood	mu	sigma	rho	w	theta
-8907.746717473798	1.6325580267571476	2.5510824653171427	0.0	0.025525409634733393	13977.99787694362
-8907.746718078975	1.6325455626557386	2.551037498713621	0.0	0.025507116158150857	13977.99787694362
-8907.746716664957	1.6325389365884442	2.5510525270154334	0.0	0.025528278101545666	13977.99787694362
-8907.746716663516	1.6325427901906449	2.5510487622746387	0.0	0.025525488752656856	13977.99787694362
-8907.746718327202	1.6325431491626436	2.5511019575130436	0.0	0.02551598611907369	13977.99787694362
-8907.746717406324	1.6325302113604108	2.551075400199919	0.0	0.025536916175235125	13977.99787694362
-8907.746716715646	1.6325426597419275	2.5510412763559662	0.0	0.025531608602597095	13977.99787694362
-8907.746716652182	1.632541299543038	2.551044601471629	0.0	0.02552757876277931	13977.99787694362
-8907.746717714845	1.632548388762553	2.551035180925582	0.0	0.025510681793412933	13977.99787694362
-8907.746716715012	1.632541084208227	2.5510538755952563	0.0	0.025523877414054104	13977.99787694362
