log_likelihood	mu	sigma	rho	w	theta
-2756.7981665748566	2.2983307868790797	1.088333633805347	0.0	0.00010000000000000002	13125.32907960198
-2756.798166574912	2.2983307261431123	1.0883335693158376	0.0	0.0001	13125.32907960198
-2756.798172287329	2.298365167735127	1.0883775542520995	0.0	0.00010000000000000002	13125.32907960198
-2756.7981665799034	2.29832981359621	1.0883322740904031	0.0	0.00010000000000000002	13125.32907960198
-2756.7981666509513	2.298333503594555	1.0883394757723315	0.0	0.0001	13125.32907960198
-2756.798166678158	2.2983355890201578	1.08833568211987	0.0	0.00010000000000000002	13125.32907960198
-2756.7981665781144	2.298331349888754	1.0883348405135265	0.0	0.0001	13125.32907960198
-2756.7981665853677	2.2983291765124743	1.0883323577924087	0.0	0.00010000000000000002	13125.32907960198
-2756.798166674691	2.2983320072942077	1.088329330132492	0.0	0.0001	13125.32907960198
-2756.7981665775974	2.298331261520566	1.0883347374823362	0.0	0.0001	13125.32907960198
