log_likelihood	mu	sigma	rho	w	theta
-8818.790934237877	1.657572144979582	2.497360054144389	0.0	0.060111698504953286	14120.752921155188
-8818.790947352236	1.657535028288828	2.49721369413351	0.0	0.06019352708130286	14120.752921155188
-8818.79093351847	1.6575522546420278	2.497309597123112	0.0	0.06016443066857552	14120.752921155188
-8818.790930947016	1.657548315360613	2.497383966504643	0.0	0.06015760477565856	14120.752921155188
-8818.790933031316	1.657535832943578	2.4974092713939866	0.0	0.060176577637719296	14120.752921155188
-8818.79093076848	1.6575513883666626	2.497376112475667	0.0	0.06014382879684756	14120.752921155188
-8818.790932209742	1.6575461712425361	2.497366907704031	0.0	0.06017400354645859	14120.752921155188
-8818.790997619393	1.6575279489751078	2.4973839126865403	0.0	0.06033087932531041	14120.752921155188
-8818.790930872052	1.657552376290116	2.4973834972799938	0.0	0.06014072286572677	14120.752921155188
-8818.790931153066	1.657535360439628	2.497371042096291	0.0	0.0601539249442925	14120.752921155188
