log_likelihood	T_WGD	TF	nuWGD	nuF	H	misid	theta
-1674.9444473039612	0.2925065164007643	0.3135275976958175	0.2863297330376895	0.9466550438953268	0.0	0.0024622611604002407	5862.2954181174155
-1705.9137911437178	0.10484875731170396	0.38263069668225524	0.12300897057830364	0.8942258530646452	0.0	0.0018904575401012878	6102.0146816476445
-1694.3671353367054	0.16315565807776142	0.35353343589930153	0.17892686380048614	0.906272272129612	0.0	0.0021117731913858633	6059.58819528379
-1671.64134930309	0.6773564208396442	0.2300703157912018	0.5391585142493706	1.0871701491681796	0.0	0.0030180825214709797	5214.623484174509
-1663.3020018156108	0.43660533186776473	0.2769510272151589	0.3929325586929476	1.0023234034928052	0.0	0.0026697444972286102	5600.203031061443
-1675.068162707779	0.290020375719349	0.3275340289440602	0.28614194080902894	0.9476117300828999	0.0	0.0021923022148928133	5823.219487475793
-1662.22742974897	0.49661597126766377	0.26419439242655707	0.43071391028459627	1.0215148009662947	0.0	0.0028538283449096387	5507.86116522763
-1671.0561983782043	0.6748592117845621	0.21666148052884296	0.5343669033619901	1.092037699096194	0.0	0.0033249491969531285	5249.852037199716
-1662.3081105141523	0.4841730536600867	0.2661299467983902	0.4227854974486284	1.0187971277896355	0.0	0.002684273438218734	5526.2377912878255
-1673.0878586994277	0.3026030433833487	0.3230806803447487	0.29810330194728135	0.9564348094913437	0.0	0.002288453871029865	5786.480962629007
