log_likelihood	T_WGD	nuWGD	nuF	theta
-611.3196405129836	0.6119608998550197	0.1568377615106635	0.6271877502890432	7033.23656739069
-611.319757591234	0.6122412396188046	0.1570788643383506	0.6273216384236022	7030.022422774853
-611.3198435177558	0.61265593318864	0.15523299009625682	0.6236224496209758	7071.137525110302
-611.3195603760784	0.6123147681169069	0.1557863705220947	0.6249277289316839	7057.542614700546
-611.320962106957	0.6123888219272667	0.1578279865085341	0.6290480382112617	7012.036460612653
-611.3199283052803	0.613046642194547	0.15657966965399317	0.6259926584614247	7042.982152396463
-611.319805363154	0.6126746440456706	0.15514061278289143	0.6231932051774649	7074.796168786388
-611.3210546718797	0.6109961567371418	0.15612533479465643	0.6256779402229831	7049.832711949086
-611.3194106900047	0.6123486268061732	0.15654838672579494	0.6262185303713608	7042.012805100928
-611.4107050444845	0.6162545851089808	0.14186056733995445	0.5911892210631595	7432.336013576382
