log_likelihood	T_WGD	nuWGD	nuF	theta
-651.1477979846347	0.49663830059201	0.28974003349576044	0.7859908725884256	5606.398628728176
-652.1544148691105	0.2141517296993005	0.45802362937406454	0.8637971243165286	5319.499581343274
-651.1476719671443	0.49802842763216987	0.2892295879886539	0.7853614283970667	5609.329092346703
-651.1482230042809	0.497096845687164	0.2901342618580939	0.7860187852695867	5604.622678430818
-651.1611270158435	0.5023284885039256	0.2864612284885027	0.7812842942778363	5629.902455882244
-651.1478089476188	0.4959500442275798	0.28970688787299603	0.7860861106488306	5606.704016591125
-652.1596614409428	0.2177694861828142	0.4546541757741025	0.8631918125638584	5319.626868407852
-652.1667838501144	0.2225150145829134	0.4499419581531381	0.8621088400050151	5321.178691059886
-655.647178700939	0.09313008423483657	0.8262373277412597	0.8100574283497819	5362.012029932657
-652.1139186998201	0.18265314755596296	0.4983492094662637	0.8659040555949541	5316.699311376871
