log_likelihood	T_WGD	nuWGD	nuF	theta
-632.8709556877741	0.6135729294213372	0.11681283977087087	0.5186201590522168	8321.935581889937
-632.8815090096768	0.6173371411866707	0.12079230883045898	0.5302416803379176	8149.386703752746
-632.8851769283974	0.6190250826299014	0.1235004263414027	0.5367763757497508	8049.163712968381
-662.0242293067495	0.12066494739201528	0.7837146843205633	0.8218128383270996	5218.673037526045
-632.8714045905356	0.6140706103666056	0.1166981565002651	0.5181441875502933	8328.524704282501
-632.8739504690465	0.6159830877423388	0.11947274608071633	0.5257113126963419	8211.877104842044
-633.0431729278378	0.5516208342600922	0.0806266443235352	0.40843440547190635	10519.287381309885
-632.8718077389574	0.6149942188408889	0.11776874545191263	0.5207673588685552	8285.863786248066
-662.0239186532733	0.12279896594180927	0.7702080189211333	0.8247820375512056	5216.6983016413615
-632.871351615158	0.6140612546349073	0.11731804313446711	0.5200186385433297	8300.248252666179
