log_likelihood	mu	sigma	rho	w	misid	theta
-8756.223302216466	1.6106246072176102	2.5107788573346834	0.0	0.0591660119613455	0.002360451425961855	13534.649945090676
-8756.22331464926	1.610636359618641	2.5106180062544756	0.0	0.05917921251443751	0.002360384060596117	13534.649945090676
-8756.223309720612	1.6106305017852034	2.5108191335245715	0.0	0.059174569824020605	0.0023613209008909487	13534.649945090676
-8756.223308450419	1.6105863908950155	2.510806728253172	0.0	0.059171059830927325	0.0023609718675513813	13534.649945090676
-8756.223302939994	1.6106068799056792	2.510783200149597	0.0	0.05913186336541079	0.0023602997876741995	13534.649945090676
-8756.2233022384	1.6106272504165473	2.510771146664694	0.0	0.05912733314935143	0.002360480378760442	13534.649945090676
-8756.22330444457	1.6106450076963916	2.51077672029768	0.0	0.05917708764236491	0.00236047778564098	13534.649945090676
-8756.223301439906	1.6106289735370511	2.5107623937103747	0.0	0.05914390693079747	0.0023603910423188354	13534.649945090676
-8756.223323624417	1.6105977707797892	2.5107498344849946	0.0	0.05923988164551859	0.002360891841518276	13534.649945090676
-8756.223306972064	1.6106281120191126	2.5106822703038474	0.0	0.05913490440599987	0.0023611080094478555	13534.649945090676
