log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	m12	m21	theta
-1096.1103489017264	0.23784488835091538	0.12257651650995315	0.25827199698353276	0.8635377006021223	0.8098646856606553	0.0	0.10221756557552002	5552.13842033637
-1096.2330706491211	0.2431774859143721	0.11852762545374841	0.25810150157719264	0.866192404126604	0.8140676964486655	0.0	0.10295208526705787	5541.414578628348
-1095.9531932398054	0.23219110000016022	0.1270888949546178	0.2528265198923946	0.875012403578148	0.812363219311843	0.0	0.10219731235826479	5556.7186248675025
-1096.2555464559887	0.1893621525412328	0.1623986119050811	0.2558562467772546	0.8387491374411304	0.8124228151430957	0.0	0.09796933016002474	5619.775511144323
-1096.220699237836	0.24429953037704938	0.11671116260359521	0.2560066129695142	0.8708766576812628	0.807937870088983	0.0	0.10228739857878862	5546.389907166006
-1094.8215052622409	0.11765090262200606	0.23371743382510404	0.24613072803785171	0.8758060481523606	0.8490784530094995	0.0	0.09997813746128326	5602.72954598898
-1094.8388465408007	0.0899715466962968	0.25942473988311204	0.2435853829092081	0.880005499633112	0.8537883436091563	0.0	0.0988012965998285	5611.885684119638
-1094.922028559194	0.1218817122888398	0.22735299504238343	0.240600211658748	0.8881174729801454	0.8422838275812004	0.0	0.09781697764729164	5614.447123859017
-1095.6002910197155	0.16430003522421485	0.18404865663251724	0.23955339174224174	0.8893560575841644	0.817420302595282	0.0	0.09816910845872616	5625.479418811597
-1097.926080261356	0.19003457193975964	0.18032703201856998	0.2706568314618266	0.8444684353397018	0.8700461309679836	0.0	0.10942811451280841	5499.038640552009
