log_likelihood	T_WGD	T_dip	nuB	nuF	nu_dip	theta
-1512.2794532170092	0.001	0.3782092254789881	0.3241807718466376	0.8516727249395616	0.9108174440135947	5169.342185510708
-1512.2924311537315	0.0010245599822630471	0.3768867553204098	0.3210785916294028	0.8523895187614912	0.9080702905555841	5178.610194249266
-1512.2895358288479	0.001	0.37894543187189383	0.3261854520572074	0.8485092883816309	0.9118388079159637	5166.576467847241
-1512.2787317791642	0.001	0.3782486392827353	0.3235425276236263	0.8521799741532631	0.9104734795158191	5169.981046742171
-1512.278218850864	0.001	0.3781668579699916	0.3235597453551824	0.8521131039468396	0.9105338573529315	5170.152665123211
-1512.2811013826636	0.001	0.3776189691964757	0.32185248948190986	0.8537580025876581	0.9094781302284092	5173.360001143273
-1517.5298890553147	0.20691588943799816	0.1855918434541502	0.34396693052595523	0.8475014510133642	0.9127766978110613	5092.202329132976
-1513.5367992164208	0.06135203791389285	0.3191998567444961	0.3252846141471361	0.8494923519121628	0.9057116991923835	5166.328527360173
-1524.0685617294666	0.4001606439324026	0.004635837449091687	0.361330594246152	0.853729537981115	0.640969609781674	4994.947751611128
-1512.2779260482885	0.001	0.3780217532790246	0.3235501485923736	0.8515812795033698	0.9101178741336375	5171.372767698612
