log_likelihood	T_WGD	nuWGD	nuF	theta
-409.79854605014185	0.6909809936252673	0.1458878133534852	0.5591505586462852	7639.038490406654
-409.7814291311774	0.6947239581962124	0.15767025230944767	0.5857060524198628	7306.1844981249205
-409.7807650156126	0.6938497547075376	0.15654581305766732	0.5835511009944875	7333.630059567398
-409.78670588035726	0.692572109677924	0.150324511037184	0.5694394634335541	7506.738263069477
-409.7835798859835	0.6953030281715852	0.15871782509927065	0.5881089971356189	7278.131645453046
-410.13598418108984	0.6336767254853246	0.09911058717402549	0.4372782704715961	9711.432661631043
-409.78449117598814	0.6930273957506687	0.15160163882839292	0.5722126500919318	7471.186007559922
-427.02137296911485	0.12349079755217546	0.9190776516514255	0.7668686358793173	5260.794415012547
-410.3637595519762	0.5687395674724839	0.07472369299153193	0.3611308498343315	11735.409503284955
-409.79879853971835	0.6937754196139962	0.1661504671624072	0.6034122243729515	7099.537024994548
