log_likelihood	T_WGD	nuWGD	nuF	theta
-406.8697974128007	0.616012713220737	0.09154859102810486	0.39860006239857776	10462.564890512918
-406.86666862030177	0.6138544866011594	0.0911021487191311	0.3979353440813284	10485.325405306816
-406.8619722154324	0.6123417164170968	0.09021167951127226	0.3947494757059143	10564.211768179443
-406.85531699138267	0.60889531090382	0.0887522652116312	0.3903704995775144	10681.396135495763
-407.0460647813405	0.6599976968038245	0.11335164482846045	0.46147695863601856	9072.260888067256
-407.6643043115657	0.6991636046793883	0.1549556397005742	0.5585021644664262	7519.85280526775
-406.8409864640896	0.5981378528974935	0.08533917823428513	0.38146086051001143	10941.388683747842
-406.77818204036276	0.5478879049447141	0.06926779325307503	0.3291368307400318	12654.116698202479
-406.91221065360145	0.6261420877481771	0.09667583087641109	0.41302125764554953	10095.617219263555
-406.8490745459167	0.6057288458980417	0.08773163267131576	0.38739400068464513	10763.016589114191
