log_likelihood	T_WGD	nuWGD	nuF	theta
-397.6326530569483	0.639663226176798	0.1307816398705009	0.5653395754234087	7732.291364612485
-397.63204644176307	0.6387071537383513	0.1294219678341845	0.5616948858545506	7780.095406640515
-397.67872223629536	0.6247564205416803	0.1132313249414116	0.5167142745824711	8431.29923954857
-397.6321583221553	0.6389798373711438	0.12970558350129968	0.5625625142406787	7769.244963213515
-397.6342655931815	0.6404008872368723	0.13224489992856656	0.5687917524656845	7685.23620286123
-419.9915910367918	0.09778419028442838	1.245251906060927	0.7481080457724706	5199.727339235446
-420.0470237891907	0.0999651367303775	1.2537848205539357	0.7446532265570519	5191.463089511737
-419.8844232874488	0.0915195776451478	1.483426096514627	0.7144221648698148	5205.671226494946
-397.6865735728227	0.647087139245178	0.14344090265584794	0.5965754533704963	7340.165829467298
-419.8981000566935	0.09334205890913364	1.4080549535599982	0.7242966325367742	5202.6596050633125
