log_likelihood	mu	sigma	misid	theta
-101.22839998108441	0.25359751123863505	127.57679786277166	0.0027851273139411297	13727.803509730467
-101.22840911077571	0.2535940253994103	127.597900531175	0.0027856007418682626	13727.803509730467
-101.22840642915025	0.25361568730012163	127.55059939202134	0.0027831604794010725	13727.803509730467
-101.22840167273318	0.253579496295277	127.60464351927072	0.002784660237147636	13727.803509730467
-101.22839992983404	0.25359658205115687	127.57877037340323	0.0027852769304016005	13727.803509730467
-101.22840032229362	0.253599188747845	127.57539796287772	0.002784593011435097	13727.803509730467
-101.22840751085619	0.25361654933777034	127.55626251649593	0.002783982316399875	13727.803509730467
-101.22840100796827	0.2535861551883944	127.59464304554537	0.002783702173682902	13727.803509730467
-101.22840017537646	0.25359474589031383	127.58246379143438	0.0027845266807541608	13727.803509730467
-101.22841368508148	0.25356901716624614	127.61890246130933	0.002779081808065935	13727.803509730467
