log_likelihood	mu	sigma	misid	theta
-105.36316243656438	0.25362331504478325	126.88942033728598	0.001370900377294388	13550.271961329374
-105.36316195495749	0.2536254928012546	126.8885445477326	0.0013698461119932162	13550.271961329374
-105.36316200538533	0.25362172720105125	126.8952879603321	0.001370431122390636	13550.271961329374
-105.36316215884051	0.2536243745884598	126.8901276827595	0.0013709258096127489	13550.271961329374
-105.36316246720878	0.253628507124571	126.88389391264595	0.0013713239480081809	13550.271961329374
-105.36316203412946	0.2536184140286386	126.89938892918354	0.0013698302552118198	13550.271961329374
-105.36316438663243	0.25364060854272524	126.86259682000046	0.0013717019350363306	13550.271961329374
-105.36316495625351	0.2536288599484167	126.89196759606068	0.001370114634094179	13550.271961329374
-105.36316214240742	0.2536193560321132	126.89982180475685	0.001370159752972861	13550.271961329374
-105.36316271665748	0.25361636400968607	126.89914893847225	0.0013700959109156814	13550.271961329374
