log_likelihood	mu	sigma	misid	theta
-580.6136237076726	0.2573003282629977	105.97432004875134	0.004287269427997651	13051.300711231608
-580.6137333401143	0.2573801485805652	105.90529616066016	0.00428436577989849	13051.300711231608
-580.6136127893411	0.25732525691134905	105.93959116410291	0.0042891310564047	13051.300711231608
-580.6136060045015	0.2573342249052549	105.9308422453802	0.004287709546436106	13051.300711231608
-580.6136061834343	0.25733418411835274	105.93117419527451	0.004287521002008851	13051.300711231608
-580.6136059859668	0.2573335054138818	105.93154740362942	0.004287758410871454	13051.300711231608
-580.6136141641423	0.2573507659133827	105.91804231710637	0.004287238840576854	13051.300711231608
-580.6136166042547	0.25734427775794166	105.92070353320341	0.004286075312774704	13051.300711231608
-580.6136060674312	0.25733153631713146	105.93395983143193	0.004287833488299229	13051.300711231608
-580.6136077177421	0.2573280275611849	105.9336422610743	0.004287695923488139	13051.300711231608
