log_likelihood	mu	sigma	misid	theta
-585.270255874332	0.2792536252539011	93.53113106958293	0.0038395533047398305	13835.418917446148
-585.2703565526654	0.2792721880719466	93.51270689002747	0.0038339698638877717	13835.418917446148
-585.270257043012	0.27925518360165974	93.5263377426875	0.0038395221165611407	13835.418917446148
-585.2702561714304	0.2792558395253166	93.52912583917231	0.003839253781372241	13835.418917446148
-585.270259400997	0.27924836405254466	93.53683980210195	0.0038405088400438854	13835.418917446148
-585.270255848166	0.2792548649851465	93.5304335080071	0.0038396156942617048	13835.418917446148
-585.2702659137844	0.27923188674367383	93.54564562122425	0.0038385003203743784	13835.418917446148
-585.2702581581888	0.27926561132433547	93.51907476923323	0.003840334151291126	13835.418917446148
-585.2702677919245	0.27927428088631756	93.51700477506905	0.0038413822024897792	13835.418917446148
-585.2702571444362	0.27926612940545603	93.52116457436442	0.003839452442997557	13835.418917446148
