log_likelihood	mu	sigma	misid	theta
-606.1561297597839	0.2547352258391891	135.5736733938188	0.003662030436287509	14296.813123305483
-606.1561289206415	0.2547380995446529	135.57367996828503	0.0036613107014740495	14296.813123305483
-606.156129141797	0.25473376987896834	135.58076599939898	0.003661534612139073	14296.813123305483
-606.1561283445266	0.25474120690541624	135.5693789768664	0.0036617726681405114	14296.813123305483
-606.1561298505142	0.25474596377954756	135.5590588148146	0.0036623063904062977	14296.813123305483
-606.156128561632	0.2547410171029217	135.571190594125	0.003661849398663467	14296.813123305483
-606.156129246343	0.25474785728543636	135.5613840716325	0.003661685567836781	14296.813123305483
-606.1561381156282	0.254757200063429	135.54322523439083	0.003663397710317223	14296.813123305483
-606.156130881393	0.2547527958765375	135.54961341705612	0.00366216618395099	14296.813123305483
-606.1561290452304	0.2547450473697894	135.56607395484576	0.0036616056831419207	14296.813123305483
