log_likelihood	T_WGD	TF	nuWGD	nuF	H	misid	theta
-556.2169602462466	0.4395335331701354	0.2814903084018506	0.3937406534166575	1.004575674607581	0.0	0.0031812620073789887	5581.854871653673
-557.0783136277589	0.4056872859307957	0.2900325044333456	0.3716795941259344	0.9893461094905723	0.0	0.002631677118976677	5642.338483558543
-582.7254576612517	0.17036359245404253	0.35395128150700284	0.1862524272500555	0.9178020226061245	0.0	0.002052905753744593	6010.365916353269
-556.1088588636234	0.4273035673572777	0.28325522191769503	0.3849406883586647	0.9971565635469688	0.0	0.0027797931371825835	5613.5153757451335
-569.300684189211	0.2645740023114913	0.3250752030081261	0.2690636687146043	0.9410847503328856	0.0	0.002509215552735116	5875.241445524148
-577.2447962226358	0.21007313658196178	0.33958957703031173	0.2218103345064296	0.9175620817223344	0.0	0.0017532423013805962	5990.120204025844
-554.299261015846	0.5015184331837729	0.2647068690928699	0.43249035701536925	1.023274168114869	0.0	0.0029572547757299146	5498.722260845048
-573.1089295956522	0.23390585700250505	0.33439964020568047	0.24189793467275705	0.9311693779658939	0.0	0.0022396637178863123	5929.585827661329
-577.8254210239688	0.2030203315995338	0.3384717373384386	0.21523233454246346	0.9200686697911213	0.0	0.0019559700130621096	5997.189055019015
-566.5502420952288	0.28769172960756406	0.32122488909502667	0.28599695694665056	0.9492015382545117	0.0	0.0022254533639715027	5833.318764856336
-556.9814607324408	0.4140955634806892	0.2889633022133918	0.3763219185525804	0.9867046456971366	0.0	0.0025149166224126313	5642.361851967434
-554.2797127352555	0.5247272805244511	0.26006584369953584	0.44585613137368846	1.0306208933653185	0.0	0.0030209169006499073	5464.841140283659
-565.6150605422478	0.33953584040131674	0.3368984924780263	0.3234822825907178	0.9795102237555079	0.0	0.002717624307654926	5647.89843188828
-557.6417114208284	0.4010789757023214	0.2883119730158685	0.3697626832266275	0.9960617587144489	0.0	0.0025879465605531888	5633.724388406484
-570.4872381922384	0.262894898485193	0.3167175894951179	0.26747920992584706	0.9458943056611917	0.0	0.0019019300919348447	5886.331151608466
-554.810967668792	0.4716922567169544	0.2692614373197271	0.41330994402700905	1.007949325913593	0.0	0.0027538303717867824	5563.635459732961
