log_likelihood	T_WGD	TF	nuWGD	nuF	H	misid	theta
-493.69849224560994	0.17085953177828955	0.3828377572044613	0.2181632250845995	1.0011131040204637	0.0	0.010099941697561914	5612.438153753268
-435.596426249656	0.3570124645050391	0.377959698598293	0.4025736725806583	1.0009771153089757	0.0	0.0101	5280.627351517317
-614.6253948941952	0.11421951038490413	0.43901241833663	0.10226510557709352	1.2045195494704912	0.0	0.0101	5597.243875104036
-940.2043302954382	0.23054961491305775	0.26752736161531315	0.2706515939609878	1.602343732449169	0.0	0.0101	5387.388526038718
-654.4585951947887	0.4170462817520604	0.08933278122693328	0.39383622788143136	1.6631584723241761	0.0	0.010099906485861804	6064.580786377505
-375.7965840425733	0.21764195917242413	0.574713391396188	0.2586972265660904	0.7957428437389332	0.0	0.010099936291667663	5556.655529762532
-427.131374801135	0.2267813256441773	0.38424838366860775	0.19950684670822605	1.0667290478261113	0.0	0.0101	5686.990221742848
-561.1285018640358	0.27380108634081496	0.28880015551235305	0.230428293922738	1.3481037286010844	0.0	0.0101	5685.705457031846
-879.9344885428808	0.31654851241428045	0.34657985018574616	0.21801327018216887	1.485860073962848	0.0	0.010025000000000001	5434.088039126437
-395.59045008778367	0.3734535128710822	0.4916615183249927	0.3736784724290469	1.1078866560299248	0.0	0.010099928372849142	4975.657734053373
-361.071513888901	0.36654130810852636	0.3054430208874928	0.34908984309182167	0.8661956190372937	0.0	0.010099701896784267	5772.6653846300915
-390.7337443667645	0.3796966000393375	0.3972610468534015	0.3863898815562756	1.076231932085601	0.0	0.010025000000000001	5178.2537819959125
-615.4291488475649	0.226050695323802	0.22170265679574047	0.19538626241838322	1.343801081245254	0.0	0.010025	6150.8299370760615
-614.1090724158686	0.37698248223125347	0.17367924319050482	0.2774293592239033	1.393739286088303	0.0	0.0101	6130.134921833015
-660.9201880577087	0.3533223848571625	0.43188771579186963	0.24722169791911522	1.2661193575725234	0.0	0.010025	5235.6685917693485
-600.3899753172611	0.558744927628469	0.36016118976421435	0.37205810466646266	1.4573358104174825	0.0	0.0101	4943.452247137803
-531.4109366448511	0.1422649920226337	0.2768328658144207	0.17310815113999137	0.9669906192957719	0.0	0.010099922823391531	6120.755052747974
-428.18459383292975	0.3884168242216106	0.4903973229677322	0.46649069303659446	0.9510117474536137	0.0	0.010099891536380398	5056.034699818786
-529.4932890821548	0.18070616668907064	0.25826053639304175	0.21471592462220077	0.9531297760309239	0.0	0.010099949417489694	6105.614750563351
-482.8058820559472	0.18943951194456587	0.2821499565899298	0.19365077065245492	1.1321526705569152	0.0	0.010099862527783748	5940.91960500355
-464.0654453203085	0.24842320266258225	0.37554052765398666	0.20346532662750252	0.9233190356498714	0.0	0.0101	5926.7083001876945
